Employer,City,Zip Code,LWIB Area,Notice Date
Hyatt Regency Scottsdale Resort & Spa at Gainey Ra  ,Scottsdale  ,85258  ,7  ,06/12/2020 
"IHG-Army Hotels, candlewood Suites  ",Yuma Proving grounds  ,85365  ,9  ,4/7/2020
"Insys Therapeutics, Inc  ",Chandler  ,85224  ,7  ,08/09/2019 
Intel Corporation  ,Santa Clara  ,95054  ,7  ,04/25/2016 
Intel Corporation  ,Santa Clara  ,95054  ,7  ,04/25/2016 
Interagency Council  ,Lake havasu City  ,86403  ,11  ,06/13/2018 
Intercontinental Exchange NYSE  ,Chicago  ,60606  ,5  ,03/23/2015 
International Bedding  ,Tolleson  ,85353  ,7  ,10/21/2011 
International Cruise & Excursion Gallery  ,Scottsdale  ,85256  ,7  ,03/24/2020 
International Window Arizona  ,Phoenix  ,85040  ,7  ,12/30/2010 
Intuit  ,Mountain View  ,94043  ,6  ,07/10/2013 
Invitation Homes  ,Scottsdale  ,85255  ,7  ,01/16/2019 
Islands Restaurants  ,Phoenix  ,85050  ,7  ,03/23/2020 
Jabil  ,Tempe  ,85281  ,7  ,09/05/2013 
James River Insurance Company  ,Scottsdale  ,85254  ,7  ,05/15/2020 
John C. Lincoln Health Network's North Mountain  ,Phoenix  ,85020  ,7  ,12/06/2010 
Kaplan University  ,Phoenix  ,85008  ,7  ,12/07/2010 
Katerra  ,Scottsdale  ,85258  ,7  ,10/09/2019 
Katerra  ,Phoenix  ,85043  ,5  ,12/03/2019 
Katerra  ,Scottsdale  ,85258  ,7  ,04/02/2020 
KDC Construction  ,Irvine  ,92606  ,7  ,03/20/2020 
Kellogg's  ,Battle Creek  ,49016  ,5  ,05/26/2017 
King's Seafood Company LLC  ,Tempe  ,85281  ,7  ,03/24/2020 
Kmart  ,Hoffman Estates  ,60179  ,5  ,08/29/2013 
Kmart Store # 4269  ,Phoenix  ,85019  ,7  ,10/15/2011 
Kmart #04996  ,Hoffman Estates  ,60192  ,6  ,12/27/2018 
Kmart Corporation  ,Hoffman Estates  ,80179  ,5  ,10/15/2014
Kmart Corporation  ,Hoffman Estates  ,60179  ,7  ,10/04/2012 
L'Auberge de Sedona  ,Sedona  ,85600  ,10  ,04/03/2020 
La Palma Correctional Facility  ,Eloy  ,85131  ,2  ,02/22/2019 
Leidos  ,Prescott Valley  ,86314  ,12  ,05/03/2019 
Life Care Centers of America  ,Cleveland  ,37320  ,7  ,04/30/2015 
Life Care Centers of America  ,Cleveland  ,37320  ,6  ,04/30/2015 
Life Care Centers of America  ,Cleveland  ,37320  ,6  ,04/30/2015 
Life Care Centers of America  ,Cleveland  ,37320  ,12  ,04/30/2015 
Life Care Centers of America  ,Cleveland  ,37320  ,7  ,04/30/2015 
Life Care Centers of America  ,Cleveland  ,37320  ,7  ,04/30/2015 
