Company,City,Effective Date,Workforce Affected
Kmart Corporation,Vineland,10/4/2015,74
"Lundbeck Research USA, Inc.",Paramus,10/19/2015,68
"Pathmark Stores, Inc and Blair Distributors",Edison,10/27/2015,168
Post Foods,Parsippany,9/30/2015,48
Saint Michael's Medical Center,Newark,10/9/2015,1445
Super Fresh Food Markets-Ocean City,Ocean City,11/26/2015,171
Super Fresh-Manahawkin,Manahawkin,11/26/2015,75
TSuper Fresh Food Markets-Wildwood,Wildwood,11/26/2015,138
"Textiles from Europe, Inc. d/b/a Victoria Classics",Edison,9/21/2015,14
The Great Atlantic & Pacific Tea Co- A&P-Allendale,Allendale,11/26/2015,104
The Great Atlantic & Pacific Tea Co. - A&P-Basking Ridge,Basking Ridge,11/26/2015,66
The Great Atlantic & Pacific Tea Co. - A&P-Belvidere,Belvidere,11/26/2015,64
The Great Atlantic & Pacific Tea Co. - A&P-Blairstown,Blairstown,11/26/2015,102
The Great Atlantic & Pacific Tea Co. - A&P-Bloomfield,Bloomfield,11/26/2015,46
The Great Atlantic & Pacific Tea Co. - A&P-Boonton Township,Boonton Township,11/26/2015,99
The Great Atlantic & Pacific Tea Co. - A&P-Bricktown,Bricktown,11/26/2015,80
The Great Atlantic & Pacific Tea Co. - A&P-Califon,Califon,11/26/2015,55
The Great Atlantic & Pacific Tea Co. - A&P-Clark,Clark,11/26/2015,125
The Great Atlantic & Pacific Tea Co. - A&P-Clinton,Clinton,11/26/2015,54
The Great Atlantic & Pacific Tea Co. - A&P-Closter,Closter,11/26/2015,92
The Great Atlantic & Pacific Tea Co. - A&P-Denville,Denville,11/26/2015,111
The Great Atlantic & Pacific Tea Co. - A&P-Edison,Edison,11/26/2015,72
The Great Atlantic & Pacific Tea Co. - A&P-Fairview,Fairview,11/26/2015,100
The Great Atlantic & Pacific Tea Co. - A&P-Fanwood,Fanwood,11/26/2015,72
The Great Atlantic & Pacific Tea Co. - A&P-Fort Lee,Fort Lee,11/26/2015,145
The Great Atlantic & Pacific Tea Co. - A&P-Hackettstown,Hackettstown,11/26/2015,6
The Great Atlantic & Pacific Tea Co. - A&P-Haskell,Haskell,11/26/2015,7
The Great Atlantic & Pacific Tea Co. - A&P-Hewitt,Hewitt,11/26/2015,85
The Great Atlantic & Pacific Tea Co. - A&P-Hoboken,Hoboken,11/26/2015,104
