ID,Company name,City,ZIP,County,Est. Impact,LWDA,Date
GA201900479,Stone Mountain Park,Stone Mountain,30087,Dekalb,52,5,04/20/2020
GA201900480,"Immediate Credit Recovery, Inc.",Kennesaw,30144,Cobb,145,4,03/27/2020
GA201900483,Elite Comfort Solutions,Newnan,30265,Coweta,8,8,04/08/2020
GA201900484,Elite Comfort Solutions,Newnane,30265,Coweta,1,8,04/08/2020
GA201900485,Elite Comfort Solutions,Americus,31719,Sumter,2,15,04/08/2020
GA201900487,Miguel Wilson Collection,Atlanta,30326,Fulton,10,3,03/18/2020
GA201900489,Primrose School Franchising Company LLC,Atlanta,30339,Cobb,59,4,04/06/2020
GA201900490,"Harlem Globetrotters International, Inc.",Peachtree Corners,30092,Gwinnett,175,7,04/20/2020
MD201900001,Alion Science and Technology,Hanover,21076,Anne Arundel,45,0,04/30/2020
GA201900493,PCAM LLC,Atlanta,30354,Fulton,100,3,03/25/2020
GA201900495,"Sysco Atlanta, LLC",College Park,30337,Fulton,176,3,03/27/2020
GA201900497,Kathy and Company LLC,Kennesaw,30152,Cobb,3,4,03/31/2020
GA201900502,Kabobs Acquisition  LLC,Lake City,30260,Clayton,175,7,03/13/2020
GA201900511,Miller Ale House,Alpharetta,30004,Fulton,45,3,03/21/2020
GA201900512,Augusta Sportswear Brands,Grovetown,30813,Columbia,141,13,03/23/2020
GA201900513,Miller's Ale House,McDonough,30253,Henry,110,7,03/21/2020
GA201900519,SAGE MONTESSORI,MARIETTA,30062,Cobb,7,4,04/01/2020
GA201900520,Mid Georgia Fire Safety,Eastman,31023,Dodge,4,16,03/10/2020
GA201900521,InterContinental Buckhead Atlanta,Atlanta,30326,Fulton,210,3,03/23/2020
GA201900522,Mt. Bailey Holdings LLC,Atlanta,30309,Fulton,109,3,03/23/2020
GA201900523,Safran Aerosystems,Peachtree City,30269,Henry,8,7,04/03/2020
GA201900525,Crestline Hotels & Resorts,Peachtree Corners,30092,Fulton,91,3,03/25/2020
GA201900526,Scholastic Book Fairs,Kennesaw,30152,Cobb,74,4,03/16/2020
GA201900527,Crowne Plaza Atlanta Airport,Atlanta,30344,Fulton,57,3,03/20/2020
GA201900529,Tower 3 Champions Retreat,Evans,30809,Columbia,45,13,03/26/2020
GA201900530,"Southern Exposure Technical Services, LLC",Acworth,30101,Paulding,4,1,04/27/2020
GA201900531,Stein Mart Distribution Center,Lithia Springs,30122,Douglas,121,7,03/31/2020
GA201900532,Perry Lane Hotel,Savannah,31401,Chatham,100,20,03/17/2020
GA201900534,"Greyhound Lines, Inc.",Atlanta,30303,Fulton,78,3,03/30/2020
GA201900537,"NP Bay Ventures, LLC",Savannah,31401,Chatham,27,20,03/20/2020
GA201900538,Gate Group,Atlanta,30354,Fulton,51,3,05/07/2020
GA201900539,"Flotel II, Inc.",Savannah,31401,Chatham,32,20,03/20/2020
