Company Name,Layoff Total,Workforce Local Area,WARN Date,Reason for Layoff,Occupations,Layoff Date(s)
UtiliQuest,78,Tri-County,12/8/2017,Loss of Contract/Closure,,
Verizon/XO Communications,49,Arapahoe Douglas,6/27/2017,Restructuring,,
Viavi Solutions Inc.,61,Pikes Peak,2/7/2017,Corporate Restructuring,,
WalMart,68,Denver,1/17/2017,Closure,,
Walmart Store #1208,153,Jefferson,6/5/2017,Closure,,
Walmart Store #3020,65,Jefferson,6/5/2017,Closure,,
Walmart Store #3096,74,Boulder,5/23/2017,Closure,,
XTO Energy Western Div Office,113,Arapahoe Douglas,6/20/2017,Closure - Move to other Company locations,,
Zenith Education Group,27,Adams,11/3/2017,Closure,,
Zenith Education Group,26,Pikes Peak,11/3/2017,Closure,,
Sports Authority - Lone Tree Store,70,Arapahoe/Douglas,7/13/2017,Closure,,
SMA America Production LLC,220,Denver,12/31/2016,Closure,,
Coleman,54,Jefferson,12/20/2016,Closure,,
MV Public Transportation,52,Mesa,10/21/2016,Closure,,
Climax Molybdenum Co - Henderson Mine & Mill - REV #5,N/A,Jefferson,10/11/2016,Revision,,
Swissport,187,Denver,9/16/2016,Downsize,,
Climax Molybdenum Co - Henderson Mine & Mill - REV #4,200,Jefferson,8/26/2016,Revision,,
Sports Authority - Store Support Center,144,Arapahoe/Douglas,8/26/2016,Closure,,
General Dynamics Information Technology,60,Pikes Peak/Teller,8/18/2016,Ceasing certain operations,,
Lake Region Medical - Layoffs 8-10-16,60,Jefferson,8/10/2016,Closure,,
Integra,59,Denver,8/4/2016,Downsize,,
Honeywell Technology Solutions Inc - REV,210,Pikes Peak/Teller,7/28/2016,Potential Downsize,,
Packaging Corporation of America,70,Adams,7/25/2016,Closure,,
Excelsior,80,Arapahoe/Douglas,7/20/2016,Closure,,
Northwest Pipe Company,65,Denver,7/12/2016,Selling Company,,
CCA- Kit Carson Correctional Facility,141,Western,7/5/2016,Closure,,
Xerox State Healthcare,85,Arapahoe/Douglas,6/27/2016,Other,,
Sports Authority,70,Arapahoe/Douglas,6/23/2016,Closure,,
Sports Authority,N/A,Arapahoe/Douglas,6/15/2016,Revision,,
Climax Molybdenum Co - Henderson Mine & Mill - REV#3,N/A,Jefferson,6/14/2016,Revision,,
Sports Authority,N/A,Arapahoe/Douglas,6/10/2016,Revision,,
Honeywell Technology Solutions Inc.,241,Pikes Peak/Teller,6/2/2016,Potential Downsize,,
Sanjel,54,Denver,5/31/2016,Closure,,
Sanjel,101,Weld,5/31/2016,Closure,,
Sports Authority,461,Arapahoe/Douglas,5/25/2016,Closing,,
Gaiam Inc.,34,Boulder,5/11/2016,Sale of Company,,
DAL Global Services,104,Denver,5/3/2016,Downsize,,
XIO Technologies,107,Pikes Peak/Teller,4/25/2016,Closure,,
Lake Region Medical - Layoffs 4/21 and or 4/24/16,19,Jefferson,4/11/2016,Closure,,
Lake Region Medical - Layoffs 5/19 and/or 5/22/16,26,Jefferson,4/11/2016,Closure,,
Lake Region Medical - Layoffs 5/5 and/or 5/8/16,31,Jefferson,4/11/2016,Closure,,
Lake Region Medical - Layoffs 6/2 and/or 6/5/16,28,Jefferson,4/11/2016,Closure,,
Baxter Healthcare,106,Arapahoe/Douglas,4/5/2016,Closure,,
Xerox Business Services,328,Pikes Peak/Teller,3/31/2016,Downsize,,
Tubular Repair,7,Rural Resort,3/19/2016,Potential Closure,,
Sky Hotel 39 Degrees Recinds Layoffs from 2/5/16 WARN,N/A,Rural Resort,3/18/2016,N/A,,
MYCOM North America,2,Arapahoe/Douglas,3/15/2016,Closure,,
WPX Energy,208,Rural Resort,3/10/2016,Closure,,
Jacobs Technology Inc - ETASS Group.,70,Pikes Peak/Teller,2/29/2016,Downsize,,
Bowie Resources LLC - Bowie Mine #2,102,Western,2/26/2016,Idle,,
Climax Molybdenum Co - Henderson Mine & Mill - REV#2,N/A,Jefferson,2/25/2016,Downsize,,
Sports Authority,72,Denver,2/23/2016,Closure,,
Vail Cascade,200,Rural Resort,2/17/2016,Job Attached,,
Honeywell,8,Pikes Peak/Teller,2/12/2016,Downsize,,
Startek,89,Pikes Peak/Teller,2/10/2016,Downsize,,
Leggett and Platt,62,Pikes Peak/Teller,2/5/2016,Closure,,
Sky Hotel 39 Degrees,91,Rural Resort,2/5/2016,Closure,,
All Web Leads Inc.,103,Denver,2/3/2016,Closure,,
Jones International University,28,Arapahoe/Douglas,1/31/2016,Closure,,
